brand	sku	category	name	price	type	length	radius	angle	radius2	angle2	tracks	amazon	note
ArcPath	RM-HOSL001NL-SET-LGY	橋脚	標準橋脚 4つセット(ライトグレー)	1500	accessory	0	0	0	0	0	0	OK
ArcPath	RM-HOSL001NL-SET-6-LGY	橋脚	6番橋脚 4つセット(ライトグレー)	1500	accessory	0	0	0	0	0	0
ArcPath	RM-HOSL001SET-LGY	橋脚	勾配橋脚セット(ライトグレー)	5000	accessory	0	0	0	0	0	0	OK	0〜12までのセット品
ArcPath	RM-HOSSS246-LGY	単線高架直線	単線高架 246mm(ライトグレー)	2000	straight	246	0	0	0	0	1	OK
ArcPath	RM-HOSSA246-LGY	単線高架直線	単線アドオン高架 246mm(ライトグレー)	1500	straight	246	0	0	0	0	1	OK
ArcPath	RM-HOSSA369-LGY	単線高架直線	単線アドオン高架 369mm(ライトグレー)	2000	straight	369	0	0	0	0	1	OK	2本で1セット
ArcPath	RM-HOSSS246VS-LGY	単線高架直線	単線高架 縦凸曲線 246mm(ライトグレー)	2000	straight	246	0	0	0	0	1	OK
ArcPath	RM-HOSSS246VB-LGY	単線高架直線	単線高架 縦凹曲線 246mm(ライトグレー)	2000	straight	246	0	0	0	0	1	OK
ArcPath	RM-HOSRS1606-LGY	単線高架曲線	単線高架 R1606 5.625°(ライトグレー)	1500	curve	0	1606	5.625	0	0	1	OK
ArcPath	RM-HOSRS1546-LGY	単線高架曲線	単線高架 R1546 5.625°(ライトグレー)	1500	curve	0	1546	5.625	0	0	1	OK
ArcPath	RM-HOSRS730-LGY	単線高架曲線	単線高架 R730 11.25°	1500	curve	0	730	11.25	0	0	1		2026春新製品
ArcPath	RM-HOSRS790-LGY	単線高架曲線	単線高架 R790 11.25°	1500	curve	0	790	11.25	0	0	1		2026春新製品
ArcPath	RM-HOSRS850-LGY	単線高架曲線	単線高架 R850 11.25°	1500	curve	0	850	11.25	0	0	1		2026春新製品
ArcPath	RM-HOSRS910-LGY	単線高架曲線	単線高架 R910 11.25°	1500	curve	0	910	11.25	0	0	1		2026春新製品
ArcPath	RM-HODSS246-LGY	複線高架直線	複線高架 246mm(ライトグレー)	4000	straight	246	0	0	0	0	2	OK
ArcPath	RM-HODSA246-LGY	複線高架直線	複線アドオン高架 246mm(ライトグレー)	3000	straight	246	0	0	0	0	2	OK
ArcPath	RM-HODSA369-LGY	複線高架直線	複線アドオン高架 369mm(ライトグレー)	4000	straight	369	0	0	0	0	2	OK
ArcPath	RM-HODSS246VS-LGY	複線高架直線	複線高架 縦凸曲線 246mm(ライトグレー)	4000	straight	246	0	0	0	0	2	OK
ArcPath	RM-HODSS246VB-LGY	複線高架直線	複線高架 縦凹曲線 246mm(ライトグレー)	4000	straight	246	0	0	0	0	2	OK
ArcPath	RM-HODRS1546-1606-LGY	複線高架曲線	複線高架 R1546/1606 5.625°(ライトグレー)	3000	curve	0	1546	5.625	1606	0	2	OK
ArcPath	RM-HODRS730-790-LGY	複線高架曲線	複線高架 R730/790 11.25°	3000	curve	0	730	11.25	790	0	2		2026春新製品
ArcPath	RM-HODRS790-850-LGY	複線高架曲線	複線高架 R790/850 11.25°	3000	curve	0	790	11.25	850	0	2		2026春新製品
ArcPath	RM-HODRS850-910-LGY	複線高架曲線	複線高架 R850/910 11.25°	3000	curve	0	850	11.25	910	0	2		2026春新製品
ArcPath	RM-HOFLSS246-GY	地上スラブ直線	平面スラブ 246mm	1500	straight	246	0	0	0	0	1	OK
ArcPath	RM-HOFLFL246-GY	地上FL直線	平面フローティングラダー 246mm	2000	straight	246	0	0	0	0	1	OK
ArcPath	RM-HOFLSS114-LGY	地上スラブ直線	地上スラブ 114mm	800	straight	114	0	0	0	0	1		2026春新製品
ArcPath	RM-HOFLSS123-LGY	地上スラブ直線	地上スラブ 123mm	900	straight	123	0	0	0	0	1		2026春新製品
